#,Project Name,Client / Company,Year,Image/file Name,Short Excerpt (for card),Technologies Used,Full Description (Rich HTML)
32,SIEM & Centralized Firewall Syslog Aggregation,Business Systems House,2026,SIEM-Centralized-Firewall-Syslog-Aggregation.png,"Implemented a centralized Syslog collector and SIEM log monitoring pipeline to aggregate FortiGate firewall logs, authentication events, and audit trails.","FortiAnalyzer, Syslog-ng, SIEM, FortiGate, Linux (Oracle Linux 9.5), Logrotate","<h2>SIEM & Centralized Firewall Syslog Aggregation</h2><p>Deployed a dedicated Syslog server infrastructure to aggregate and index security event logs from enterprise FortiGate firewalls and core switches.</p><h3>Key Features & Implementation</h3><ul><li><strong>Centralized Log Ingestion:</strong> Standardized Syslog forwarding protocols from perimeter firewalls to an isolated log collector appliance.</li><li><strong>SIEM Integration & Parsing:</strong> Configured log parsing rules and automated alerts for brute-force attacks, policy violations, and anomaly detection.</li><li><strong>Retention & Compliance:</strong> Established automated log compression, rotation, and encrypted long-term storage to meet ISO/UAE compliance.</li></ul>"
33,Qualys TruRisk Vulnerability Management Architecture,Business Systems House,2025,Qualys-TruRisk-Vulnerability-Management-Architecture.png,"Deployed Qualys TruRisk vulnerability management appliances and agents to continuously assess, score, and prioritize enterprise infrastructure threats.","Qualys Guard, TruRisk Engine, Qualys Cloud Agent, Windows/Linux Hardening, VAPT","<h2>Qualys TruRisk Vulnerability Management Architecture</h2><p>Architected an automated vulnerability management workflow leveraging Qualys appliances to continuously scan and prioritize system vulnerabilities.</p><h3>Key Features & Implementation</h3><ul><li><strong>Continuous Asset Discovery:</strong> Configured scheduled vulnerability scans across internal DMZ, server subnets, and endpoint pools.</li><li><strong>TruRisk Scoring & Prioritization:</strong> Utilized Qualys TruRisk scoring metrics to prioritize actionable patch remediation efforts based on exploitability.</li><li><strong>Automated Remediation Tracking:</strong> Generated executive-level security posture reports and tracked mitigation closure SLAs.</li></ul>"
34,Oracle Database High Performance (DBCS-HP) Cloud Sizing,Business Systems House,2026,Oracle-Database-High-Performance-(DBCS-HP)-Cloud-Sizing.png,"Modeled Oracle Base Database Service High Performance (DBCS-HP) specifications, calculating ECPU capacity, storage sizing, and object storage backup costs.","Oracle Cloud Infrastructure (OCI), Oracle DBCS, ECPU Sizing, Block Volumes, Object Storage",<h2>Oracle Database High Performance (DBCS-HP) Cloud Sizing</h2><p>Developed technical sizing specifications and financial models for deploying Oracle Base Database High Performance instances on OCI.</p><h3>Key Features & Implementation</h3><ul><li><strong>ECPU & RAM Allocation:</strong> Sized database compute shapes (ECPUs) and memory capacity to support high-throughput transactional database workloads.</li><li><strong>Storage Architecture:</strong> Calculated high-performance Block Volume storage and automated Object Storage backup policies.</li><li><strong>Cost Modeling & Sizing Optimization:</strong> Prepared 12-month cloud investment proposals comparing compute performance against licensing requirements.</li></ul>
35,Zero Downtime Database Migration (ZDM) Architecture,Business Systems House,2026,Zero-Downtime-Database-Migration-(ZDM)-Architecture.png,Designed an Oracle Zero Downtime Migration (ZDM) strategy utilizing Data Guard physical online replication for near-zero downtime database cutover.,"Oracle Zero Downtime Migration (ZDM), Oracle Data Guard, OCI DB Service, RMAN, SQL SPA",<h2>Zero Downtime Database Migration (ZDM) Architecture</h2><p>Engineered an enterprise database cloud cutover methodology leveraging Oracle ZDM and Physical Online Data Guard replication.</p><h3>Key Features & Implementation</h3><ul><li><strong>Near-Zero Downtime Cutover:</strong> Configured continuous Data Guard synchronization to perform live database migration without business interruption.</li><li><strong>Post-Migration Validation:</strong> Integrated SQL Performance Analyzer (SPA) execution to validate query performance prior to production sign-off.</li><li><strong>Rollback & DR Assurance:</strong> Retained on-premises database nodes as an active failback Disaster Recovery target.</li></ul>
36,FortiClient Endpoint VPN & Multi-Factor Authentication (Duo),Business Systems House,2026,FortiClient-Endpoint-VPN-Multi-Factor-Authentication-(Duo).png,Deployed FortiClient VPN with Duo MFA integration to secure remote administrative access to corporate jump servers and private cloud subnets.,"FortiClient VPN, Duo Proxy, FortiGate, RADIUS, Active Directory, MFA",<h2>FortiClient Endpoint VPN & Multi-Factor Authentication (Duo)</h2><p>Architected a secure remote access solution combining FortiClient SSL-VPN with Duo Proxy Multi-Factor Authentication (MFA) for enterprise users.</p><h3>Key Features & Implementation</h3><ul><li><strong>MFA-Protected Remote Access:</strong> Integrated Duo Proxy RADIUS authentication with Active Directory to enforce mandatory push notifications during login.</li><li><strong>Role-Based Jump Server Access:</strong> Restricted remote connections exclusively to segmented Jump Hosts based on user group authorization.</li><li><strong>Split-Tunneling & Encryption:</strong> Enforced AES-256 IPsec/SSL encryption and restricted direct internet access through corporate security inspection.</li></ul>
37,Segmented Jump Server & Bastion Access Control,Business Systems House,2026,Segmented-Jump-Server-Bastion-Access-Control.png,"Deployed dedicated group-segmented Jump Servers (IT, Tech, End-User, UAT) with strict RBAC access controls for administrative cloud management.","Windows Server Jump Hosts, OCI Bastion Service, RDP, Active Directory RBAC, Duo MFA","<h2>Segmented Jump Server & Bastion Access Control</h2><p>Architected a zero-trust administrative access model using dedicated Jump Servers and OCI Bastion hosts to isolate management interfaces from public networks.</p><h3>Key Features & Implementation</h3><ul><li><strong>Group-Segmented Jump Hosts:</strong> Isolated administrative environments into dedicated Jump Hosts (IT, TECH, END USER, UAT) to prevent lateral privilege movement.</li><li><strong>MFA & Session Logging:</strong> Enforced Duo MFA on all administrative RDP sessions and enabled session recording for compliance auditing.</li><li><strong>Fallback Cloud Bastion:</strong> Deployed OCI IAM Bastion Service as an emergency secondary access route for IT administrators.</li></ul>"
38,Active/Active Cloud Disaster Recovery & IP Routing Strategy,Business Systems House,2026,Active/Active-Cloud-Disaster-Recovery-IP-Routing-Strategy.png,"Formulated an Active/Active hybrid Disaster Recovery plan with non-overlapping IP schemas, site-to-site IPsec VPN, and automated failover routing.","FortiGate IPsec VPN, Active/Active DR, Non-Overlapping IP Subnets, BGP Routing, Data Guard","<h2>Active/Active Cloud Disaster Recovery & IP Routing Strategy</h2><p>Designed a resilient hybrid disaster recovery strategy connecting OCI UAE region as primary production with on-premises infrastructure as active DR site.</p><h3>Key Features & Implementation</h3><ul><li><strong>Non-Overlapping Subnet Addressing:</strong> Standardized IP addressing schemes (Cloud, Primary HO, DR) to eliminate NAT requirements during failover.</li><li><strong>IPsec VPN Tunnel Redundancy:</strong> Deployed dual-terminated FortiGate IPsec VPN tunnels with automated route failover.</li><li><strong>RPO/RTO Validation:</strong> Established RPO/RTO metrics backed by synchronous database replication and scheduled DR testing.</li></ul>"
39,CAD GULF Internal Network VAPT Audit Remediation,Business Systems House,2025,CAD-GULF-Internal-Network-VAPT-Audit-Remediation.png,"Managed technical remediation for internal network penetration test findings, resolving High/Medium vulnerabilities across production servers and switches.","Network VAPT, Windows Server Hardening, OpenSSL, FortiOS, Port Security, SMB Signing","<h2>CAD GULF Internal Network VAPT Audit Remediation</h2><p>Led technical remediation efforts following an independent internal network penetration test, achieving full compliance and threat closure.</p><h3>Key Features & Implementation</h3><ul><li><strong>System Hardening & Patching:</strong> Remediated open SSL vulnerabilities, disabled outdated SMBv1/v2 protocols, and enforced SMB signing.</li><li><strong>Network Port Hardening:</strong> Disabled unused physical switch ports and restricted network management interfaces to secure administrative VLANs.</li><li><strong>Re-Testing & Verification:</strong> Conducted verification scanning to validate total elimination of all identified High and Medium risk vulnerabilities.</li></ul>"
40,Oracle WebLogic Server Migration from Windows to Linux,Business Systems House,2026,Oracle-WebLogic-Server-Migration-from-Windows-to-Linux.png,Migrated Oracle WebLogic application stack from legacy Windows Server environments to hardened Oracle Linux shapes on OCI.,"Oracle WebLogic Server, Oracle Linux 7.9/9.5, Domain Migration, Java EE, Shell Scripting","<h2>Oracle WebLogic Server Migration from Windows to Linux</h2><p>Architected and executed the platform migration of Oracle WebLogic Server application domains from Windows Server to Oracle Linux runtime environments.</p><h3>Key Features & Implementation</h3><ul><li><strong>Domain & Cluster Migration:</strong> Re-platformed WebLogic domain configurations, managed servers, and JDBC connection pools to Linux environments.</li><li><strong>Performance Optimization:</strong> Tuned Linux kernel parameters, JVM heap sizes, and garbage collection policies for high-concurrency enterprise applications.</li><li><strong>Automated Startup Scripts:</strong> Developed systemd service units for automated WebLogic server startup, health monitoring, and graceful shutdowns.</li></ul>"
41,M365 Purview Data Loss Prevention (DLP) & Governance,Business Systems House,2025,M365-Purview-Data-Loss-Prevention-(DLP)-Governance.png,"Configured Microsoft Purview DLP policies to inspect, classify, and protect confidential corporate data across M365, Exchange, and Teams.","Microsoft Purview, M365 DLP, Data Classification, Sensitive Info Types, Retention Policies",<h2>M365 Purview Data Loss Prevention (DLP) & Governance</h2><p>Implemented Microsoft Purview data loss prevention and retention policies to prevent unauthorized sharing of corporate assets and sensitive records.</p><h3>Key Features & Implementation</h3><ul><li><strong>Data Classification Rules:</strong> Formulated auto-labeling policies to identify and tag sensitive financial and personal identification information.</li><li><strong>Exchange & Teams DLP:</strong> Enforced transport rules blocking external auto-forwarding and unauthorized document attachments.</li><li><strong>Audit & Incident Alerts:</strong> Configured real-time compliance administrator alerts for unauthorized policy breach attempts.</li></ul>
